CustomerID,TypeOfIncident,SeverityOfIncident,AuthoritiesContacted,IncidentState,IncidentCity,PropertyDamage,BodilyInjuries,Witnesses,PoliceReport,AmountOfTotalClaim,AmountOfInjuryClaim,AmountOfPropertyClaim,AmountOfVehicleDamage,MonthOfIncident
Cust10000,Multi-vehicle Collision,Total Loss,Police,State7,City1,,1,0,,65501,13417,6071,46013,2
Cust10001,Multi-vehicle Collision,Total Loss,Police,State7,City5,YES,2,1,YES,61382,15560,5919,39903,2
Cust10002,Single Vehicle Collision,Minor Damage,Other,State8,City6,YES,2,3,NO,66755,11630,11630,43495,1
Cust10003,Single Vehicle Collision,Minor Damage,Other,State9,City6,YES,2,3,NO,66243,12003,12003,42237,1
Cust10004,Single Vehicle Collision,Minor Damage,Fire,State8,City6,NO,2,1,YES,53544,8829,7234,37481,1
Cust10005,Single Vehicle Collision,Minor Damage,Fire,State7,City6,NO,1,2,,53167,7818,8132,37217,2
Cust10006,Single Vehicle Collision,Minor Damage,Ambulance,State5,City4,,0,2,NO,77453,6476,12822,58155,1
Cust10007,Single Vehicle Collision,Minor Damage,Police,State5,City3,,0,2,NO,60569,5738,7333,47498,1
Cust10009,Multi-vehicle Collision,Minor Damage,Ambulance,State9,City2,YES,0,0,,67876,6788,7504,53584,2
Cust1001,Single Vehicle Collision,Major Damage,Police,State7,City2,YES,1,2,YES,71610,6510,13020,52080,1
Cust10011,Single Vehicle Collision,Minor Damage,Fire,State9,City5,NO,0,0,,58293,9396,5433,43464,2
Cust10012,Multi-vehicle Collision,Major Damage,Other,State7,City1,YES,1,0,YES,50631,10110,5055,35466,2
Cust10013,Multi-vehicle Collision,Major Damage,Other,State7,City2,YES,1,0,YES,57120,10593,5297,41230,2
Cust10014,Multi-vehicle Collision,Minor Damage,Police,State5,City2,NO,1,0,,48939,1079,5797,42063,1
Cust10016,Multi-vehicle Collision,Total Loss,Other,State7,City2,NO,1,0,YES,60854,6596,5461,48797,2
Cust10017,Multi-vehicle Collision,Total Loss,Other,State7,City2,,1,0,YES,61697,6172,6167,49358,2
Cust10018,Parked Car,Minor Damage,Police,State6,City1,YES,0,2,NO,5371,679,521,4171,2
Cust10019,Parked Car,Minor Damage,Police,State6,City1,YES,0,2,YES,5408,689,524,4195,2
Cust10021,Vehicle Theft,Trivial Damage,None,State4,City5,,2,1,,6190,619,1208,4363,1
Cust10022,Single Vehicle Collision,Minor Damage,Ambulance,State8,City4,,1,1,YES,56357,6084,6084,44189,1
Cust10023,Single Vehicle Collision,Minor Damage,Ambulance,State8,City4,,1,3,YES,61780,6276,6276,49228,2
Cust10024,Multi-vehicle Collision,Total Loss,Other,State9,City4,YES,2,0,NO,80425,14902,14902,50621,1
Cust10025,Multi-vehicle Collision,Total Loss,Other,State9,City4,,1,1,,79356,15170,15170,49016,2
Cust10026,Multi-vehicle Collision,Major Damage,Other,State9,City2,YES,2,1,NO,55235,7844,6137,41254,2
Cust10027,Single Vehicle Collision,Minor Damage,Fire,State4,City2,YES,2,1,NO,52732,11434,5859,35439,1
Cust10028,Multi-vehicle Collision,Total Loss,Police,State8,City3,,1,2,YES,49526,6184,7743,35599,1
Cust10029,Multi-vehicle Collision,Total Loss,Police,State8,City3,,1,2,YES,48260,5676,7808,34776,1
Cust10030,Single Vehicle Collision,Total Loss,Fire,State7,City3,NO,1,3,,70372,12413,8306,49653,1
Cust10031,Single Vehicle Collision,Total Loss,Fire,State7,City3,NO,0,3,,68012,11758,9222,47032,1
Cust10032,Multi-vehicle Collision,Minor Damage,Police,State5,City4,YES,0,0,YES,62702,5392,10355,46955,2
Cust10034,Multi-vehicle Collision,Total Loss,Other,State5,City2,,1,0,YES,30412,5018,5822,19572,2
Cust10035,Multi-vehicle Collision,Total Loss,Ambulance,State5,City2,,1,2,YES,47814,5765,10367,31682,1
Cust10037,Single Vehicle Collision,Major Damage,Ambulance,State9,City1,,1,0,NO,56154,5730,5730,44694,1
Cust1004,Single Vehicle Collision,Major Damage,Police,State3,City1,,1,2,NO,63400,6340,6340,50720,1
Cust10040,Multi-vehicle Collision,Minor Damage,Police,State5,City7,,2,0,,56729,6746,6746,43237,2
Cust10041,Multi-vehicle Collision,Minor Damage,Ambulance,State5,City7,,2,0,,59066,8220,8220,42626,1
Cust10042,Multi-vehicle Collision,Total Loss,Police,State7,City4,,1,2,,38267,297,4709,33261,2
Cust10043,Multi-vehicle Collision,Total Loss,Police,State7,City4,,1,3,,42869,3495,4485,34889,1
Cust10044,Single Vehicle Collision,Minor Damage,Police,State7,City7,YES,2,3,,97734,16366,15903,65465,1
Cust10046,Single Vehicle Collision,Minor Damage,Police,State5,City2,NO,2,2,YES,78737,10717,13762,54258,1
Cust10047,Single Vehicle Collision,Minor Damage,Fire,State5,City2,NO,2,2,NO,66803,6547,11285,48971,1
Cust10049,Single Vehicle Collision,Minor Damage,Fire,State5,City4,YES,1,0,,57041,8251,8251,40539,2
Cust1005,Vehicle Theft,Minor Damage,None,State5,City1,NO,0,1,NO,6500,1300,650,4550,2
Cust10051,Single Vehicle Collision,Major Damage,Ambulance,State9,City5,YES,0,1,,66757,16656,5574,44527,2
Cust10052,Multi-vehicle Collision,Total Loss,Other,State5,City5,,1,2,YES,66269,8756,6965,50548,2
Cust10053,Multi-vehicle Collision,Total Loss,Other,State5,City5,,1,1,,74320,12593,7019,54708,1
Cust10054,Multi-vehicle Collision,Total Loss,Other,State5,City2,,0,1,,71670,9685,13031,48954,2
Cust10057,Single Vehicle Collision,Major Damage,Ambulance,State9,City5,YES,1,2,,47725,5410,5410,36905,1
Cust10058,Single Vehicle Collision,Major Damage,Ambulance,State9,City1,YES,0,2,NO,48166,9582,4919,33665,1
Cust10059,Single Vehicle Collision,Major Damage,Ambulance,State9,City1,YES,0,2,NO,47524,9313,5136,33075,1
Cust1006,Multi-vehicle Collision,Major Damage,Fire,State7,City1,NO,0,2,NO,64100,6410,6410,51280,1
Cust10061,Multi-vehicle Collision,Total Loss,Fire,State5,City1,,0,0,NO,53298,5922,5922,41454,1
Cust10063,Multi-vehicle Collision,Minor Damage,Police,State5,City2,NO,2,3,NO,35260,7610,4082,23568,2
Cust10064,Multi-vehicle Collision,Total Loss,Other,State3,City3,,1,2,,65057,10493,5509,49055,1
Cust10065,Multi-vehicle Collision,Total Loss,Other,State3,City3,,0,1,,62274,7930,5802,48542,2
Cust10067,Vehicle Theft,Minor Damage,None,State7,City5,YES,1,0,NO,5892,857,857,4178,1
Cust10068,Single Vehicle Collision,Major Damage,Other,State4,City6,NO,1,0,,72236,6020,12039,54177,1
Cust1007,Multi-vehicle Collision,Minor Damage,Police,State5,City7,,0,0,,78650,21450,7150,50050,1
Cust10072,Parked Car,Trivial Damage,Police,State9,City2,,1,2,YES,5002,842,790,3370,2
