CustomerID,InsuredAge,InsuredGender,InsuredEducationLevel,InsuredOccupation,CapitalGains,CapitalLoss
Cust10000,35,MALE,JD,armed-forces,56700,-48500
Cust10001,36,MALE,JD,tech-support,70600,-48500
Cust10002,33,MALE,JD,armed-forces,66400,-63700
Cust10003,36,MALE,JD,armed-forces,47900,-73400
Cust10004,29,FEMALE,High School,exec-managerial,0,-41500
Cust10005,28,FEMALE,High School,exec-managerial,0,-41500
Cust10006,57,MALE,Masters,adm-clerical,67400,0
Cust10007,49,MALE,Masters,adm-clerical,67400,0
Cust10009,27,FEMALE,High School,handlers-cleaners,56400,-32800
Cust1001,48,MALE,MD,craft-repair,53300,0
Cust10011,41,FEMALE,MD,prof-specialty,58100,-65600
Cust10012,36,FEMALE,Associate,craft-repair,0,0
Cust10013,36,FEMALE,Associate,craft-repair,0,0
Cust10014,59,MALE,College,other-service,30400,0
Cust10016,44,FEMALE,PhD,priv-house-serv,0,0
Cust10017,44,FEMALE,PhD,priv-house-serv,0,-53300
Cust10018,33,MALE,High School,prof-specialty,0,-29200
Cust10019,33,MALE,MD,prof-specialty,0,-29200
Cust10021,40,FEMALE,Masters,exec-managerial,0,0
Cust10022,44,FEMALE,Associate,adm-clerical,73000,-37900
Cust10023,39,FEMALE,Associate,tech-support,38700,-37900
Cust10024,42,MALE,High School,exec-managerial,69400,-41000
Cust10025,44,MALE,High School,exec-managerial,69400,0
Cust10026,60,FEMALE,High School,protective-serv,0,0
Cust10027,57,MALE,High School,protective-serv,0,-22400
Cust10028,45,FEMALE,PhD,farming-fishing,0,0
Cust10029,44,MALE,PhD,protective-serv,39000,0
Cust10030,35,FEMALE,Masters,sales,37800,0
Cust10031,38,MALE,Masters,sales,51500,0
Cust10032,53,MALE,College,tech-support,45700,-65400
Cust10034,44,FEMALE,Masters,sales,0,-56800
Cust10035,42,FEMALE,Masters,sales,71300,-70300
Cust10037,29,FEMALE,Associate,farming-fishing,0,-18600
Cust1004,41,FEMALE,PhD,armed-forces,48900,-62400
Cust10040,40,MALE,JD,transport-moving,0,0
Cust10041,40,MALE,JD,transport-moving,0,0
Cust10042,41,FEMALE,Associate,craft-repair,81800,0
Cust10043,41,FEMALE,Associate,craft-repair,81800,0
Cust10044,52,FEMALE,Masters,exec-managerial,64800,-24300
