CustomerLoyaltyPeriod,Policy_CombinedSingleLimit,Policy_Deductible,PolicyAnnualPremium,UmbrellaLimit,InsuredRelationship,CustomerID,PolicyMonth,PolicyYear
328,250/500,1000,1406.91,0,husband,Cust1001,10,2014
256,250/500,2000,1415.74,6000000,unmarried,Cust1004,5,1990
228,500/1000,1000,1583.91,6000000,unmarried,Cust1005,6,2014
256,250/500,1000,1351.1,0,unmarried,Cust1006,10,2006
137,250/500,1000,1333.35,0,husband,Cust1007,6,2000
27,100/300,500,1442.99,0,own-child,Cust1009,2,1997
212,100/300,500,1315.68,0,wife,Cust1010,7,2011
235,100/300,500,1253.12,4000000,other-relative,Cust1011,5,2002
447,100/300,2000,1137.16,0,other-relative,Cust1012,5,1999
60,500/1000,500,1215.36,3000000,wife,Cust1013,11,1997
121,100/300,1000,936.61,0,wife,Cust1014,10,2012
180,250/500,2000,1301.13,0,not-in-family,Cust1015,12,1998
70,500/1000,1000,1199.44,5000000,own-child,Cust1017,6,2005
140,500/1000,500,708.64,6000000,unmarried,Cust1018,11,2004
460,250/500,1000,1187.96,4000000,own-child,Cust1021,6,2002
217,500/1000,2000,875.15,0,own-child,Cust1022,11,2005
370,100/300,2000,972.18,0,other-relative,Cust1023,5,1994
413,100/300,2000,1268.79,0,own-child,Cust1024,2,1991
237,100/300,1000,883.31,0,husband,Cust1025,2,1996
8,100/300,2000,1266.92,0,own-child,Cust1026,12,2013
257,100/300,2000,1322.1,0,own-child,Cust1027,9,1990
202,100/300,500,848.07,3000000,not-in-family,Cust1028,7,2002
64,250/500,1000,954.16,0,husband,Cust1031,2,2000
155,500/1000,1000,1088.34,0,other-relative,Cust1033,8,2003
114,100/300,1000,1558.29,0,wife,Cust1034,4,1992
149,500/1000,500,1415.68,0,own-child,Cust1035,1,1991
147,100/300,1000,1334.15,6000000,not-in-family,Cust1036,8,2010
62,100/300,1000,988.45,0,unmarried,Cust1037,3,2003
289,500/1000,2000,1222.48,0,unmarried,Cust1038,2,1993
431,500/1000,2000,1155.55,0,unmarried,Cust1039,11,2002
199,250/500,500,1262.08,0,wife,Cust1040,7,1997
79,100/300,500,1451.62,0,not-in-family,Cust1041,5,1995
116,250/500,500,1737.66,0,unmarried,Cust1042,8,2012
37,500/1000,500,1475.93,0,husband,Cust1043,4,2006
106,250/500,500,538.17,0,own-child,Cust1044,4,2003
265,250/500,1000,1454.43,0,husband,Cust1046,8,2006
163,100/300,500,1240.47,0,husband,Cust1047,1,1990
