CustomerID,VehicleModel,VehicleMake,VehicleYOM
Cust20179,Forrestor,BMW,3
Cust21384,Malibu,Chevrolet,2
Cust33335,Highlander,Toyota,1
Cust27118,Neon,Saab,0
Cust13038,Maxima,Toyota,0
Cust1801,MDX,Accura,0
Cust30237,RAM,Dodge,0
Cust21334,Camry,Toyota,0
Cust26634,E400,Mercedes,0
Cust20624,Malibu,Chevrolet,2
Cust14947,Ultima,Nissan,0
Cust21432,Legacy,Suburu,1
Cust22845,92x,Saab,0
Cust9006,TL,Accura,3
Cust30659,Maxima,Dodge,1
Cust18447,Civic,Honda,0
Cust19144,Fusion,Ford,3
Cust26846,E400,Mercedes,1
Cust4801,Wrangler,Volkswagen,0
Cust18081,Highlander,Audi,3
Cust17021,M5,BMW,0
Cust30660,Maxima,Chevrolet,1
Cust22099,92x,Saab,0
Cust33560,Fusion,Nissan,3
Cust17371,E400,Nissan,1
Cust6021,95,Saab,1
Cust4776,Impreza,Suburu,3
Cust23684,Neon,Dodge,3
Cust23837,Passat,Volkswagen,2
Cust9789,Impreza,Suburu,1
Cust23287,A3,Audi,2
Cust35566,Corolla,Toyota,0
Cust27932,Forrestor,Suburu,1
Cust35737,Wrangler,Jeep,2
Cust28068,Jetta,Ford,1
Cust38076,Corolla,Saab,2
Cust38479,A3,Audi,3
Cust13465,Grand Cherokee,Accura,1
Cust37743,Tahoe,Chevrolet,0
Cust38875,Pathfinder,Nissan,2
Cust8720,Tahoe,Chevrolet,0
Cust22485,Wrangler,Saab,0
Cust17938,E400,Toyota,1
Cust30085,Pathfinder,Nissan,2
Cust5712,95,Saab,1
Cust9597,Malibu,Chevrolet,0
Cust19578,Ultima,Chevrolet,0
Cust37745,E400,Dodge,1
Cust37493,TL,Accura,0
Cust18858,Impreza,Suburu,2
Cust20216,Corolla,Toyota,1
Cust6759,MDX,Accura,3
Cust22452,95,Chevrolet,2
Cust1224,E400,Mercedes,0
Cust7485,92x,Saab,0
Cust27812,3 Series,Volkswagen,2
Cust17203,F150,Chevrolet,1
Cust29761,Jetta,Volkswagen,1
Cust19605,CRV,Dodge,1
Cust36087,MDX,Accura,1
Cust24978,Passat,Accura,2
Cust10298,A3,Audi,3
Cust37850,Wrangler,Jeep,2
Cust4375,Silverado,Chevrolet,1
Cust30743,Civic,Honda,1
Cust32555,Neon,Ford,2
Cust33779,F150,Saab,1
Cust23452,A3,Audi,1
Cust8699,A3,Audi,0
Cust32191,Wrangler,Jeep,2
Cust5133,Grand Cherokee,Jeep,3
Cust3402,C300,Nissan,2
Cust21459,Wrangler,Nissan,3
Cust29908,Tahoe,Chevrolet,0
Cust18901,Ultima,Nissan,3
Cust8222,E400,Ford,1
Cust19293,M5,BMW,0
Cust28191,E400,Suburu,1
Cust10642,Fusion,Volkswagen,3
Cust11893,Forrestor,Nissan,3
Cust8021,Civic,Accura,2
Cust38385,95,Nissan,0
Cust32545,Fusion,Accura,2
Cust26735,X5,BMW,3
Cust33794,Corolla,Jeep,3
Cust7548,Highlander,Toyota,2
Cust37516,Jetta,Volkswagen,1
Cust2969,Highlander,Toyota,2
Cust34412,Highlander,Dodge,3
Cust1140,X5,BMW,0
Cust8623,RAM,Dodge,1
Cust9238,RAM,Dodge,0
Cust1009,Camry,Toyota,3
Cust9868,TL,Audi,1
Cust24558,A5,Audi,1
Cust26199,92x,Mercedes,1
Cust19333,E400,Mercedes,1
Cust15848,Grand Cherokee,Accura,0
Cust34815,3 Series,BMW,1
Cust35427,Grand Cherokee,Mercedes,2
Cust16049,Wrangler,Saab,2
Cust7295,ML350,Mercedes,2
Cust2680,Neon,Dodge,1
Cust32104,Escape,Jeep,0
Cust7122,Passat,Mercedes,2
Cust24319,Jetta,Volkswagen,1
Cust13437,RAM,Honda,1
Cust5112,Camry,Toyota,1
Cust1727,Tahoe,Chevrolet,3
Cust10159,Camry,Toyota,2
Cust19950,93,Saab,1
Cust5018,Civic,Honda,3
Cust13749,Neon,Dodge,2
Cust5346,Pathfinder,Honda,3
Cust9305,E400,Mercedes,1
Cust31153,ML350,Volkswagen,1
Cust28717,92x,Saab,1
